Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,status,PnL_Pct,Exit_Price,Exit_Time,Capital_Acumulado,PnL_USD
EW3_S_1018,SHORT,2024-10-18 16:00:00,155.7,158.79,142.04652,CLOSED,-0.19845857418111776,158.79,2024-10-18 23:45:00,90.27723921931884,-22.352297210552535
EW3_L_1019,LONG,2024-10-19 03:45:00,157.64,152.9315,166.62782,CLOSED,-0.298686881502156,152.9315,2024-10-21 13:45:00,63.31261216627637,-26.964627053042477
EW3_S_1022,SHORT,2024-10-22 18:00:00,152.61,156.12675,141.40284,CLOSED,0.7343660310595646,141.40284,2024-10-25 22:45:00,109.80724387883825,46.494631712561876
EW3_L_1028,LONG,2024-10-28 02:00:00,146.95,143.48895000000002,152.00876,CLOSED,0.3442504253147334,152.00876,2024-10-28 09:45:00,147.60843428676696,37.80119040792872
EW3_L_1029,LONG,2024-10-29 06:30:00,153.48,147.48884999999999,163.8437,CLOSED,-0.3903537920250199,147.48884999999999,2024-10-31 14:15:00,89.9889222280515,-57.61951205871545
EW3_S_1104,SHORT,2024-11-04 20:45:00,129.69,132.66,121.27266,CLOSED,-0.2290076335877862,132.66,2024-11-05 03:45:00,69.3807720994901,-20.60815012856141
EW3_L_1110,LONG,2024-11-10 01:15:00,193.58,186.1844,218.80043999999998,CLOSED,-0.3820435995454077,186.1844,2024-11-10 20:30:00,42.87429218736131,-26.50647991212879
EW3_S_1111,SHORT,2024-11-11 16:45:00,190.99,194.49765,164.1633,CLOSED,-0.1836562123671388,194.49765,2024-11-12 02:30:00,35.00016207630853,-7.874130111052789
EW3_L_1117,LONG,2024-11-17 04:00:00,164.7,159.77710000000002,197.35714000000002,CLOSED,-0.2989010321797189,159.77710000000002,2024-11-20 02:00:00,24.538577505242454,-10.461584571066073
EW3_L_1126,LONG,2024-11-26 18:30:00,171.03,164.72225,214.23562,CLOSED,2.5262012512424725,214.23562,2024-12-01 00:00:00,86.52796270269633,61.98938519745388
EW3_S_1202,SHORT,2024-12-02 08:00:00,212.98,218.04479999999998,197.34984,CLOSED,-0.2378063667950038,218.04479999999998,2024-12-02 09:45:00,65.95106226619451,-20.576900436501813
EW3_L_1208,LONG,2024-12-08 15:30:00,279.79,272.63995,366.28454,CLOSED,-0.25555059151506565,272.63995,2024-12-09 06:15:00,49.09722929302158,-16.853832973172935
EW3_S_1215,SHORT,2024-12-15 23:30:00,370.54,381.51809999999995,312.74805999999995,CLOSED,-0.296273006962809,381.51809999999995,2024-12-16 07:30:00,34.55104553683557,-14.546183756186013
EW3_L_1222,LONG,2024-12-22 20:15:00,305.0,293.0275,329.33554,CLOSED,0.7978865573770486,329.33554,2024-12-23 03:30:00,62.11886031399894,27.56781477716337
