ts,clase,pnl,motivo
2024-01-07 08:53:00,SHORT_PARTIAL,1.2763175066962027,Rebalanceo Suelo
2024-01-07 08:57:00,SHORT_PARTIAL,1.4458259000288136,Rebalanceo Suelo
2024-01-07 09:00:00,SHORT_PARTIAL,1.4657680639503072,Rebalanceo Suelo
2024-01-07 09:12:00,SHORT_PARTIAL,1.5854210474791983,Rebalanceo Suelo
2024-01-07 09:22:00,SHORT_PARTIAL,1.7349872768903298,Rebalanceo Suelo
2024-01-07 09:24:00,SHORT_PARTIAL,1.7050740310081036,Rebalanceo Suelo
2024-01-07 09:26:00,SHORT_PARTIAL,1.5953921294399451,Rebalanceo Suelo
2024-01-07 09:34:00,SHORT_PARTIAL,2.353194358456307,Rebalanceo Suelo
2024-01-07 09:36:00,SHORT_PARTIAL,2.1238594733592575,Rebalanceo Suelo
2024-01-07 09:38:00,SHORT_PARTIAL,2.193657047084443,Rebalanceo Suelo
2024-01-07 09:39:00,SHORT_PARTIAL,2.153772719241484,Rebalanceo Suelo
2024-01-07 09:42:00,SHORT_PARTIAL,2.263454620809642,Rebalanceo Suelo
2024-01-07 09:43:00,SHORT_PARTIAL,2.1836859651237104,Rebalanceo Suelo
2024-01-07 09:54:00,SHORT_PARTIAL,2.46287626002448,Rebalanceo Suelo
2024-01-07 09:55:00,SHORT_PARTIAL,2.2135992110059366,Rebalanceo Suelo
2024-01-07 09:58:00,SHORT_PARTIAL,2.39307868629928,Rebalanceo Suelo
2024-01-07 11:26:00,LONG_PARTIAL,0.13661135053584803,Rebalanceo Techo
2024-01-07 11:28:00,LONG_PARTIAL,0.08593492778760402,Rebalanceo Techo
2024-01-07 11:29:00,LONG_PARTIAL,0.04539378958900017,Rebalanceo Techo
2024-01-07 11:33:00,LONG_PARTIAL,0.18728777328409205,Rebalanceo Techo
2024-01-07 11:38:00,LONG_PARTIAL,0.33931704152883846,Rebalanceo Techo
2024-01-07 11:39:00,LONG_PARTIAL,0.3291817569791839,Rebalanceo Techo
2024-01-07 13:24:00,LONG_PARTIAL,0.7548637080644595,Rebalanceo Techo
2024-01-07 13:31:00,LONG_PARTIAL,0.8359459844616527,Rebalanceo Techo
2024-01-07 13:40:00,LONG_PARTIAL,0.8562165535609619,Rebalanceo Techo
2024-01-07 13:41:00,LONG_PARTIAL,0.8359459844616527,Rebalanceo Techo
2024-01-07 13:42:00,LONG_PARTIAL,0.7954048462630634,Rebalanceo Techo
2024-01-07 13:43:00,LONG_PARTIAL,0.7649989926141141,Rebalanceo Techo
2024-01-07 15:24:00,SHORT_PARTIAL,0.7219276281018615,Rebalanceo Suelo
2024-01-07 15:28:00,SHORT_PARTIAL,0.974056011817572,Rebalanceo Suelo
2024-01-07 15:44:00,SHORT_PARTIAL,1.1858438541387624,Rebalanceo Suelo
2024-01-07 15:48:00,SHORT_PARTIAL,1.589249268083905,Rebalanceo Suelo
2024-01-07 15:49:00,SHORT_PARTIAL,1.5388235913407655,Rebalanceo Suelo
2024-01-07 15:50:00,SHORT_PARTIAL,1.5085681852948791,Rebalanceo Suelo
2024-01-07 16:54:00,SHORT_PARTIAL,2.2246127950474905,Rebalanceo Suelo
2024-01-07 16:57:00,SHORT_PARTIAL,2.0430803587721864,Rebalanceo Suelo
2024-01-07 17:00:00,SHORT_PARTIAL,2.2246127950474905,Rebalanceo Suelo
2024-01-07 17:03:00,SHORT_PARTIAL,2.2145276596988714,Rebalanceo Suelo
2024-01-07 17:04:00,SHORT_PARTIAL,2.1641019829557178,Rebalanceo Suelo
2024-01-07 17:09:00,SHORT_PARTIAL,2.133846576909831,Rebalanceo Suelo
2024-01-07 18:51:00,LONG_PARTIAL,-0.0467199624328332,Rebalanceo Techo
2024-01-07 19:37:00,LONG_PARTIAL,0.034600716942791765,Rebalanceo Techo
2024-01-07 19:38:00,LONG_PARTIAL,0.014270547098889138,Rebalanceo Techo
2024-01-07 19:42:00,LONG_PARTIAL,0.06509597170865293,Rebalanceo Techo
2024-01-07 20:39:00,SHORT_PARTIAL,0.5620911478251284,Rebalanceo Suelo
2024-01-07 21:38:00,SHORT_PARTIAL,1.4564631816550022,Rebalanceo Suelo
2024-01-07 21:39:00,SHORT_PARTIAL,1.4259732259562556,Rebalanceo Suelo
2024-01-07 21:47:00,SHORT_PARTIAL,1.4462998630887485,Rebalanceo Suelo
2024-01-07 21:48:00,SHORT_PARTIAL,1.4259732259562556,Rebalanceo Suelo
2024-01-07 21:50:00,SHORT_PARTIAL,1.4869531373537341,Rebalanceo Suelo
2024-01-07 21:52:00,SHORT_PARTIAL,1.537769730184988,Rebalanceo Suelo
2024-01-07 21:55:00,SHORT_PARTIAL,1.4158099073900021,Rebalanceo Suelo
