2026-04-07 19:07:38 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 91.81 | NOTAS: Estrategia MTF
2026-04-07 19:07:46 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.3 | PRECIO: 95.62 | NOTAS: Estrategia MTF
2026-04-07 19:07:47 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 97.53 | NOTAS: Estrategia MTF
2026-04-07 19:07:47 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 91.8 | NOTAS: Estrategia MTF
2026-04-07 19:07:55 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.3 | PRECIO: 95.61 | NOTAS: Estrategia MTF
2026-04-07 19:07:55 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 97.52 | NOTAS: Estrategia MTF
2026-04-07 19:07:55 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.3 | PRECIO: 91.79 | NOTAS: Estrategia MTF
2026-04-07 19:08:02 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.52 | NOTAS: Estrategia MTF
2026-04-07 19:08:03 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.43 | NOTAS: Estrategia MTF
2026-04-07 19:08:03 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.7 | NOTAS: Estrategia MTF
2026-04-07 19:08:12 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.52 | NOTAS: Estrategia MTF
2026-04-07 19:08:12 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.43 | NOTAS: Estrategia MTF
2026-04-07 19:08:12 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.7 | NOTAS: Estrategia MTF
2026-04-07 19:08:21 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.51 | NOTAS: Estrategia MTF
2026-04-07 19:08:22 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.42 | NOTAS: Estrategia MTF
2026-04-07 19:08:22 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.69 | NOTAS: Estrategia MTF
2026-04-07 19:08:29 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.51 | NOTAS: Estrategia MTF
2026-04-07 19:08:30 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.42 | NOTAS: Estrategia MTF
2026-04-07 19:08:30 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.69 | NOTAS: Estrategia MTF
2026-04-07 19:08:38 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.52 | NOTAS: Estrategia MTF
2026-04-07 19:08:38 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.43 | NOTAS: Estrategia MTF
2026-04-07 19:08:38 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.7 | NOTAS: Estrategia MTF
2026-04-07 19:08:46 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.52 | NOTAS: Estrategia MTF
2026-04-07 19:08:46 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.43 | NOTAS: Estrategia MTF
2026-04-07 19:08:46 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.7 | NOTAS: Estrategia MTF
2026-04-07 19:08:54 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.52 | NOTAS: Estrategia MTF
2026-04-07 19:08:54 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.43 | NOTAS: Estrategia MTF
2026-04-07 19:08:54 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.7 | NOTAS: Estrategia MTF
2026-04-07 19:09:03 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.4 | PRECIO: 95.55 | NOTAS: Estrategia MTF
2026-04-07 19:09:03 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 97.46 | NOTAS: Estrategia MTF
2026-04-07 19:09:03 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 91.73 | NOTAS: Estrategia MTF
2026-04-07 19:09:11 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.5 | PRECIO: 95.52 | NOTAS: Estrategia MTF
2026-04-07 19:09:11 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 97.43 | NOTAS: Estrategia MTF
2026-04-07 19:09:11 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.5 | PRECIO: 91.7 | NOTAS: Estrategia MTF
2026-04-07 19:09:19 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.4 | PRECIO: 95.56 | NOTAS: Estrategia MTF
2026-04-07 19:09:20 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 97.47 | NOTAS: Estrategia MTF
2026-04-07 19:09:20 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.4 | PRECIO: 91.74 | NOTAS: Estrategia MTF
2026-04-07 19:11:40 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.1 | PRECIO: 95.8 | NOTAS: Estrategia MTF
2026-04-07 19:11:40 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.1 | PRECIO: 97.72 | NOTAS: Estrategia MTF
2026-04-07 19:11:40 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.1 | PRECIO: 91.97 | NOTAS: Estrategia MTF
2026-04-07 19:11:48 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.1 | PRECIO: 95.81 | NOTAS: Estrategia MTF
2026-04-07 19:11:48 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.1 | PRECIO: 97.73 | NOTAS: Estrategia MTF
2026-04-07 19:11:49 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.1 | PRECIO: 91.98 | NOTAS: Estrategia MTF
2026-04-07 19:11:56 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.2 | PRECIO: 95.69 | NOTAS: Estrategia MTF
2026-04-07 19:11:56 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 130.2 | PRECIO: 97.6 | NOTAS: Estrategia MTF
2026-04-07 19:12:04 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.3 | PRECIO: 95.66 | NOTAS: Estrategia MTF
2026-04-07 19:12:11 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.3 | PRECIO: 95.67 | NOTAS: Estrategia MTF
2026-04-07 19:12:19 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.3 | PRECIO: 95.65 | NOTAS: Estrategia MTF
2026-04-07 19:12:26 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.2 | PRECIO: 95.71 | NOTAS: Estrategia MTF
2026-04-07 19:12:33 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.2 | PRECIO: 95.74 | NOTAS: Estrategia MTF
2026-04-07 19:12:41 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.2 | PRECIO: 95.73 | NOTAS: Estrategia MTF
2026-04-07 19:12:50 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.2 | PRECIO: 95.74 | NOTAS: Estrategia MTF
2026-04-07 19:12:57 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.0 | PRECIO: 95.83 | NOTAS: Estrategia MTF
2026-04-07 19:13:05 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.1 | PRECIO: 95.82 | NOTAS: Estrategia MTF
2026-04-07 19:13:13 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.0 | PRECIO: 95.84 | NOTAS: Estrategia MTF
2026-04-07 19:13:21 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.0 | PRECIO: 95.84 | NOTAS: Estrategia MTF
2026-04-07 19:13:28 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.0 | PRECIO: 95.84 | NOTAS: Estrategia MTF
2026-04-07 19:13:36 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 130.0 | PRECIO: 95.84 | NOTAS: Estrategia MTF
